Scientific Name,Common Name,# of States 2005,States 2005,# of States 2015,States 2015,Taxonomic Group
Leucophaeus atricilla,Laughing Gull,5,"California,Maryland,Massachusetts,New York,Virgin Islands",6,"Delaware,Maine,Maryland,Massachusetts,New York,Virginia",Birds
Leucosticte atrata,Black Rosy Finch,6,"Colorado,Idaho,Montana,Nevada,Utah,Wyoming",6,"Colorado,Idaho,Montana,Nevada,Utah,Wyoming",Birds
Limnodromus scolopaceus,Long-billed Dowitcher,3,"Kansas,Nevada,South Carolina",6,"Alaska,Florida,Iowa,Kansas,Nevada,South Carolina",Birds
Liparis loeselii,yellow widelip orchid,2,"Missouri,Nebraska",6,"Georgia,Massachusetts,Missouri,Nebraska,Tennessee,West Virginia",Plants
Lithobates capito,Gopher Frog,6,"Alabama,Florida,Georgia,North Carolina,South Carolina,Tennessee",6,"Alabama,Florida,Georgia,North Carolina,South Carolina,Tennessee",Amphibians
Lythrurus umbratilis,redfin shiner,6,"Iowa,Minnesota,New York,Pennsylvania,West Virginia,Wisconsin",6,"Iowa,Minnesota,New York,Pennsylvania,West Virginia,Wisconsin",Fish
Malaclemys terrapin,Diamond-backed Terrapin,9,"Connecticut,Florida,Georgia,Massachusetts,North Carolina,Rhode Island,South Carolina,Texas,Virginia",6,"Delaware,Florida,Georgia,Massachusetts,North Carolina,South Carolina",Reptiles
Malaclemys terrapin terrapin,Northern Diamondback Terrapin,4,"Delaware,Maryland,New Jersey,New York",6,"Connecticut,Maryland,New Jersey,New York,Rhode Island,Virginia",Reptiles
Melanitta nigra americana,American Scoter,1,Alaska,6,"Alaska,Connecticut,Delaware,Maryland,New York,Rhode Island",Birds
Microtus ochrogaster,Prairie Vole,8,"Iowa,Michigan,Minnesota,Ohio,Texas,West Virginia,Wisconsin,Wyoming",6,"Louisiana,Michigan,Minnesota,Texas,West Virginia,Wisconsin",Mammals
Morone saxatilis,rockfish,5,"Connecticut,Florida,Maine,Mississippi,South Carolina",6,"Connecticut,Delaware,District of Columbia,Maine,New Jersey,South Carolina",Fish
Morus bassanus,Northern Gannet,2,"Maryland,New Jersey",6,"Delaware,Maryland,Massachusetts,New Jersey,Rhode Island,Virginia",Birds
Moxostoma,redhorse suckers,4,"Florida,Georgia,South Carolina,Virginia",6,"Florida,Georgia,North Carolina,South Carolina,Tennessee,Virginia",Fish
Moxostoma macrolepidotum,shorthead redhorse,8,"Arkansas,Delaware,Kansas,Mississippi,North Carolina,Oklahoma,Vermont,Wyoming",6,"Delaware,Kansas,Mississippi,Oklahoma,Vermont,West Virginia",Fish
Myotis ciliolabrum,western small-footed bat,5,"California,Kansas,Nevada,North Dakota,Wyoming",6,"Idaho,Kansas,Nevada,North Dakota,Texas,Wyoming",Mammals
Napaeozapus insignis,Woodland Jumping Mouse,7,"Connecticut,Michigan,North Carolina,Ohio,South Carolina,Tennessee,Wisconsin",6,"Connecticut,New Jersey,Ohio,South Carolina,Tennessee,Wisconsin",Mammals
Nehalennia integricollis,Southern Sprite,6,"Delaware,Maryland,New York,Pennsylvania,Rhode Island,Virginia",6,"Delaware,Maryland,New York,Pennsylvania,Rhode Island,Virginia",Other Invertebrates
Nehalennia irene,Sedge Sprite,5,"Delaware,District of Columbia,Maryland,Virginia,West Virginia",6,"Delaware,District of Columbia,Iowa,Missouri,Ohio,Virginia",Other Invertebrates
Neotoma floridana,Eastern Woodrat,6,"Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee",6,"Florida,Illinois,Nebraska,North Carolina,South Carolina,Tennessee",Mammals
Nocomis biguttatus,hornyhead chub,5,"Kansas,North Dakota,Pennsylvania,South Dakota,Wyoming",6,"Kansas,Minnesota,North Dakota,Pennsylvania,South Dakota,Wyoming",Fish
Notropis boops,bigeye shiner,6,"Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia",6,"Illinois,Kansas,Louisiana,Mississippi,Ohio,West Virginia",Fish
Notropis buchanani,ghost shiner,7,"Alabama,Illinois,Iowa,Missouri,Ohio,Pennsylvania,West Virginia",6,"Alabama,Illinois,Iowa,Missouri,Pennsylvania,West Virginia",Fish
Notropis procne,swallowtail shiner,2,"New York,West Virginia",6,"Delaware,New Jersey,New York,Pennsylvania,South Carolina,West Virginia",Fish
Notropis shumardi,silverband shiner,4,"Illinois,Iowa,Kansas,Texas",6,"Illinois,Iowa,Kansas,Missouri,Oklahoma,Texas",Fish
Notropis topeka,Topeka shiner,6,"Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota",6,"Iowa,Kansas,Minnesota,Missouri,Nebraska,South Dakota",Fish
Noturus exilis,slender madtom,7,"Illinois,Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin",6,"Iowa,Kansas,Kentucky,Minnesota,Mississippi,Wisconsin",Fish
Noturus gyrinus,tadpole madtom,5,"Iowa,Kansas,Michigan,Nebraska,Pennsylvania",6,"Iowa,Kansas,Nebraska,New Jersey,Pennsylvania,Virginia",Fish
Ochrotomys nuttalli,Golden Mouse,6,"Illinois,Missouri,Ohio,Oklahoma,Tennessee,West Virginia",6,"Illinois,Louisiana,Missouri,Oklahoma,Tennessee,West Virginia",Mammals
Oncorhynchus mykiss,rainbow trout,3,"California,New Jersey,Oregon",6,"Alaska,California,Idaho,Nevada,Oregon,Washington",Fish
Ophiogomphus aspersus,Brook Snaketail,5,"Massachusetts,New York,Rhode Island,Vermont,Virginia",6,"Massachusetts,New Jersey,New York,Rhode Island,Vermont,Virginia",Other Invertebrates
Ovis canadensis,bighorn sheep,4,"Colorado,Idaho,Utah,Wyoming",6,"Colorado,Idaho,Nevada,Utah,Washington,Wyoming",Mammals
Pantherophis guttatus,Eastern Corn Snake,7,"Delaware,District of Columbia,Kentucky,Maryland,North Carolina,Utah,West Virginia",6,"Delaware,Florida,Kentucky,Maryland,New Jersey,West Virginia",Reptiles
Papaipema appassionata,Pitcher Plant Borer Moth,6,"Connecticut,Delaware,Indiana,Massachusetts,New Jersey,Rhode Island",6,"Connecticut,Delaware,Maryland,Massachusetts,New Jersey,Rhode Island",Other Invertebrates
Parkesia noveboracensis,Northern Waterthrush,8,"Alaska,Connecticut,Maryland,Ohio,Puerto Rico,Rhode Island,Virgin Islands,West Virginia",6,"Connecticut,Maryland,Pennsylvania,Puerto Rico,Rhode Island,West Virginia",Birds
Pheucticus ludovicianus,Rose-breasted Grosbeak,9,"Connecticut,Kentucky,Maine,Minnesota,New Jersey,North Carolina,Ohio,Rhode Island,Virginia",6,"Connecticut,Delaware,Kentucky,Maine,New Jersey,Rhode Island",Birds
Picoides dorsalis,American Three-toed Woodpecker,9,"Alaska,Arizona,Colorado,Idaho,Maine,New Hampshire,Oregon,South Dakota,Wyoming",6,"Alaska,Arizona,Maine,New Hampshire,Oregon,Wyoming",Birds
Plethobasus cooperianus,orange-footed pearly mussel,5,"Alabama,Illinois,Indiana,Kentucky,Tennessee",6,"Alabama,Illinois,Kentucky,Ohio,Pennsylvania,Tennessee",Mollusks
Pleuronaia barnesiana,Tennessee pigtoe,6,"Alabama,Georgia,Mississippi,North Carolina,Tennessee,Virginia",6,"Alabama,Georgia,Mississippi,North Carolina,Tennessee,Virginia",Mollusks
Podiceps grisegena,Red-necked Grebe,6,"Alaska,Connecticut,Idaho,Minnesota,Oregon,Wisconsin",6,"Iowa,Minnesota,Oregon,Pennsylvania,Washington,Wisconsin",Birds
Porphyrio martinica,Purple Gallinule,4,"Arkansas,Mississippi,South Carolina,Texas",6,"Arkansas,Florida,Mississippi,Puerto Rico,South Carolina,Tennessee",Birds
Porrhomma cavernicola,Appalachian Cave Spider,4,"Indiana,Maryland,Missouri,West Virginia",6,"Illinois,Maryland,Missouri,Pennsylvania,Tennessee,West Virginia",Other Invertebrates
Problema bulenta,Rare Skipper,4,"Delaware,Maryland,New Jersey,Virginia",6,"Delaware,Georgia,Maryland,New Jersey,North Carolina,Virginia",Other Invertebrates
Problema byssus,Byssus Skipper,7,"Arkansas,Illinois,Indiana,Iowa,Kansas,Oklahoma,Wisconsin",6,"Arkansas,Illinois,Iowa,Kansas,Oklahoma,Wisconsin",Other Invertebrates
Prosopium cylindraceum,round whitefish,5,"Alaska,Maine,New Hampshire,New York,Vermont",6,"Alaska,Illinois,Maine,New Hampshire,New York,Vermont",Fish
Pseudopleuronectes americanus,blackback,3,"Connecticut,New York,Rhode Island",6,"Connecticut,Delaware,Maine,New Jersey,New York,Rhode Island",Fish
Puffinus lherminieri,Audubon's Shearwater,5,"American Samoa,Delaware,New Jersey,Puerto Rico,Virgin Islands",6,"Delaware,Florida,Maryland,New Jersey,Puerto Rico,Virgin Islands",Birds
Puma concolor,Cougar,9,"Alabama,Kansas,Michigan,Minnesota,Missouri,Nebraska,Oklahoma,Texas,Vermont",6,"Alabama,Kansas,Minnesota,Nebraska,Oklahoma,Texas",Mammals
Quadrula quadrula,mapleleaf,7,"Kansas,New York,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin",6,"Iowa,North Dakota,Pennsylvania,South Dakota,West Virginia,Wisconsin",Mollusks
Rana luteiventris,Columbia Spotted Frog,7,"Alaska,Idaho,Nevada,Oregon,Utah,Washington,Wyoming",6,"Idaho,Nevada,Oregon,Utah,Washington,Wyoming",Amphibians
Reithrodontomys humulis,Eastern Harvest Mouse,6,"Arkansas,Louisiana,Maryland,Ohio,Oklahoma,West Virginia",6,"Arkansas,Louisiana,Maryland,Ohio,Oklahoma,West Virginia",Mammals
Rhincodon typus,whale shark,3,"Florida,Hawaii,Texas",6,"Delaware,Florida,Hawaii,New Jersey,Texas,Virgin Islands",Fish
Salmo salar,Atlantic salmon,7,"Connecticut,Maine,Massachusetts,New Hampshire,New York,Rhode Island,Vermont",6,"Connecticut,Maine,Massachusetts,New York,Rhode Island,Vermont",Fish
Satyrium acadica,Acadian Hairstreak,3,"Iowa,Pennsylvania,Rhode Island",6,"Iowa,Nebraska,New Jersey,Ohio,Pennsylvania,Rhode Island",Other Invertebrates
Satyrium favonius ontario,'Northern' Oak Hairstreak,1,Pennsylvania,6,"Arkansas,Maryland,New Jersey,New York,Pennsylvania,West Virginia",Other Invertebrates
Setophaga striata,Blackpoll Warbler,5,"Alaska,Massachusetts,Pennsylvania,Vermont,Virgin Islands",6,"Alaska,Maine,Massachusetts,Pennsylvania,Rhode Island,Vermont",Birds
Somatochlora hineana,Hine's Emerald,6,"Illinois,Indiana,Michigan,Missouri,Ohio,Wisconsin",6,"Alabama,Illinois,Michigan,Missouri,Ohio,Wisconsin",Other Invertebrates
Somatochlora incurvata,Incurvate Emerald,6,"Massachusetts,Michigan,New York,Ohio,Pennsylvania,Wisconsin",6,"Maine,Massachusetts,Michigan,Ohio,Pennsylvania,Wisconsin",Other Invertebrates
Somatochlora kennedyi,Kennedy's Emerald,3,"Massachusetts,Ohio,Vermont",6,"Massachusetts,Minnesota,New Hampshire,New Jersey,Ohio,Vermont",Other Invertebrates
Sorex nanus,Rocky Mountain dwarf shrew,7,"Arizona,Colorado,Idaho,Montana,Nebraska,Utah,Wyoming",6,"Arizona,Colorado,Montana,Nebraska,Utah,Wyoming",Mammals
Spea bombifrons,Plains Spadefoot,5,"Arkansas,Montana,North Dakota,Utah,Wyoming",6,"Arkansas,Iowa,Missouri,North Dakota,Utah,Wyoming",Amphibians
Spinus pinus,Pine Siskin,6,"Alaska,Nebraska,North Carolina,Ohio,Pennsylvania,West Virginia",6,"Alaska,Delaware,Maryland,Nebraska,Pennsylvania,West Virginia",Birds
Spizella breweri,Brewer's Sparrow,11,"California,Colorado,Idaho,Montana,Nebraska,Nevada,North Dakota,Oregon,Texas,Utah,Wyoming",6,"Arizona,Colorado,Nebraska,Nevada,North Dakota,Wyoming",Birds
Squalus acanthias,piked dogfish,2,"Connecticut,South Carolina",6,"Connecticut,Delaware,Florida,New Jersey,Oregon,Rhode Island",Fish
Storeria dekayi,Dekay's Brown Snake,5,"District of Columbia,Florida,Nebraska,Ohio,Vermont",6,"Delaware,District of Columbia,Florida,Maine,New Jersey,Vermont",Reptiles
Strix nebulosa,Great Gray Owl,6,"Alaska,California,Montana,Oregon,Washington,Wyoming",6,"Alaska,California,Idaho,Oregon,Washington,Wyoming",Birds
Stylurus laurae,Laura's Clubtail,4,"Florida,Maryland,Michigan,Virginia",6,"Delaware,Florida,Maryland,Michigan,Ohio,Virginia",Other Invertebrates
Tadarida brasiliensis,Brazilian free-tailed bat,7,"Alabama,Arizona,Missouri,Oklahoma,Puerto Rico,Texas,Virgin Islands",6,"Alabama,Arizona,Nevada,Oklahoma,Puerto Rico,Texas",Mammals
Thamnophis proximus,Western Ribbon Snake,3,"Indiana,Nebraska,Wisconsin",6,"Indiana,Iowa,Nebraska,New Mexico,Tennessee,Wisconsin",Reptiles
Thamnophis radix,Plains Garter Snake,2,"Ohio,Wyoming",6,"Indiana,Iowa,Missouri,Ohio,Wisconsin,Wyoming",Reptiles
Toxolasma parvum,lilliput,7,"Georgia,Iowa,Kansas,Michigan,New York,Pennsylvania,West Virginia",6,"Arkansas,Kansas,Michigan,New York,Pennsylvania,West Virginia",Mollusks
Uniomerus tetralasmus,pondhorn,6,"Arkansas,Colorado,Iowa,Kansas,Ohio,West Virginia",6,"Arkansas,Colorado,Iowa,Kansas,Ohio,West Virginia",Mollusks
Utterbackia imbecillis,paper pondshell,5,"Iowa,Maryland,New Mexico,New York,Pennsylvania",6,"Iowa,Maryland,Michigan,New Mexico,New York,West Virginia",Mollusks
Williamsonia lintneri,Ringed Boghaunter,9,"Connecticut,Maine,Massachusetts,Michigan,New Hampshire,New Jersey,New York,Rhode Island,Wisconsin",6,"Connecticut,Maine,Massachusetts,New Hampshire,Rhode Island,Wisconsin",Other Invertebrates
Xanthocephalus xanthocephalus,Yellow-headed Blackbird,6,"California,Illinois,Indiana,Michigan,Missouri,Ohio",6,"California,Illinois,Indiana,Michigan,Minnesota,Wisconsin",Birds
Xyrauchen texanus,razorback sucker,6,"Arizona,California,Colorado,Nevada,New Mexico,Utah",6,"Arizona,California,Colorado,Nevada,New Mexico,Utah",Fish
Acipenser oxyrinchus desotoi,Gulf sturgeon,5,"Alabama,Florida,Georgia,Louisiana,Mississippi",5,"Alabama,Florida,Georgia,Louisiana,Mississippi",Fish
Acipenser transmontanus,white sturgeon,4,"Alaska,California,Idaho,Montana",5,"California,Idaho,Montana,Oregon,Washington",Fish
Acronicta albarufa,Barrens Dagger Moth,5,"Connecticut,Massachusetts,New Mexico,New York,Virginia",5,"Connecticut,Georgia,Massachusetts,New Jersey,Virginia",Other Invertebrates
Aeshna clepsydra,Mottled Darner,4,"Ohio,Pennsylvania,Vermont,Wisconsin",5,"New Jersey,Ohio,Pennsylvania,Vermont,Wisconsin",Other Invertebrates
Aeshna subarctica,Subarctic Darner,7,"Massachusetts,Michigan,Montana,New York,Vermont,Washington,Wisconsin",5,"Massachusetts,Minnesota,New Jersey,Vermont,Wisconsin",Other Invertebrates
Aeshna verticalis,Green-striped Darner,7,"Delaware,Iowa,Maryland,Pennsylvania,Vermont,Virginia,West Virginia",5,"Delaware,Maryland,New Jersey,Virginia,West Virginia",Other Invertebrates
Agalinis auriculata,earleaf false foxglove,1,Missouri,5,"Missouri,South Carolina,Tennessee,Texas,West Virginia",Plants
Alces americanus,Moose,0,,5,"Massachusetts,Michigan,Minnesota,New Hampshire,New York",Mammals
Alopias vulpinus,thresher shark,3,"Florida,New York,Texas",5,"Delaware,Maine,New Jersey,New York,Texas",Fish
Amblyscirtes vialis,Common Roadside-Skipper,4,"Connecticut,Indiana,Iowa,Pennsylvania",5,"Connecticut,Florida,Iowa,New Jersey,Pennsylvania",Other Invertebrates
Ambystoma barbouri,Streamside Salamander,4,"Kentucky,Ohio,Tennessee,West Virginia",5,"Indiana,Kentucky,Ohio,Tennessee,West Virginia",Amphibians
Amia calva,bowfin,3,"District of Columbia,Iowa,Maryland",5,"Delaware,District of Columbia,Maryland,Nebraska,Pennsylvania",Fish
Ammodytes americanus,American sand lance,2,"Connecticut,Rhode Island",5,"Connecticut,Delaware,Maine,New Jersey,Rhode Island",Fish
Anas americana,American Wigeon,4,"Arizona,Hawaii,Nebraska,Ohio",5,"Delaware,Hawaii,Iowa,Nebraska,Rhode Island",Birds
Anodontoides radiatus,rayed creekshell,3,"Alabama,Louisiana,Mississippi",5,"Alabama,Florida,Georgia,Louisiana,Mississippi",Mollusks
Antrozous pallidus,pallid bat,6,"California,Kansas,Montana,Oregon,Texas,Wyoming",5,"California,Kansas,Oregon,Texas,Wyoming",Mammals
Apalone spinifera spinifera,Northern Spiny Softshell Turtle,3,"North Carolina,Ohio,Wyoming",5,"New York,North Carolina,Virginia,West Virginia,Wyoming",Reptiles
Atrytone arogos arogos,Arogos skipper,4,"Florida,New Jersey,New York,Virginia",5,"Florida,Georgia,New Jersey,North Carolina,Virginia",Other Invertebrates
Atrytone arogos iowa,Iowa (arogos) skipper,3,"Nebraska,Oklahoma,South Dakota",5,"Arkansas,Minnesota,Nebraska,Oklahoma,South Dakota",Other Invertebrates
Bison bison,American bison,7,"Alabama,Alaska,Colorado,Missouri,Montana,North Carolina,Ohio",5,"Alabama,Colorado,Montana,Texas,Utah",Mammals
Boloria selene myrina,Silver-bordered fritillary,5,"Delaware,Illinois,New Jersey,Pennsylvania,West Virginia",5,"Delaware,New Jersey,Ohio,Pennsylvania,West Virginia",Other Invertebrates
Boyeria grafiana,Ocellated Darner,4,"Maryland,Massachusetts,Michigan,Pennsylvania",5,"Maryland,Massachusetts,Minnesota,New Jersey,Ohio",Other Invertebrates
Bucephala islandica,Barrow's Goldeneye,5,"California,Colorado,Maine,Oregon,Wyoming",5,"California,Colorado,Maine,Washington,Wyoming",Birds
Busycotypus canaliculatus,channeled whelk,2,"Connecticut,South Carolina",5,"Connecticut,Delaware,Louisiana,Rhode Island,South Carolina",Mollusks
Butorides virescens,Green Heron,6,"Connecticut,Massachusetts,Michigan,New Jersey,South Carolina,Virgin Islands",5,"Florida,South Carolina,Texas,Virginia,West Virginia",Birds
Calamospiza melanocorys,Lark Bunting,5,"Colorado,Kansas,North Dakota,South Dakota,Wyoming",5,"Colorado,Kansas,North Dakota,South Dakota,Wyoming",Birds
Calidris minutilla,Least Sandpiper,6,"Arkansas,Kansas,Nevada,Rhode Island,South Carolina,Virgin Islands",5,"Kansas,Maine,New Jersey,Rhode Island,South Carolina",Birds
Calopteryx aequabilis,River Jewelwing,4,"Maryland,Ohio,Pennsylvania,Virginia",5,"Colorado,Maryland,Ohio,Pennsylvania,Virginia",Other Invertebrates
Calopteryx amata,Superb Jewelwing,4,"Maryland,Pennsylvania,Virginia,West Virginia",5,"Maryland,New Jersey,Pennsylvania,Virginia,West Virginia",Other Invertebrates
Calopteryx angustipennis,Appalachian Jewelwing,4,"New York,Pennsylvania,Virginia,West Virginia",5,"Maryland,Ohio,Pennsylvania,Virginia,West Virginia",Other Invertebrates
Calopteryx dimidiata,Sparkling Jewelwing,4,"Connecticut,Maryland,New York,Pennsylvania",5,"Connecticut,Delaware,Maryland,New Jersey,Pennsylvania",Other Invertebrates
Carcharhinus obscurus,dusky shark,4,"Delaware,Florida,New York,Texas",5,"Delaware,Florida,New Jersey,New York,Texas",Fish
Carex buxbaumii,Buxbaum's sedge,3,"Missouri,Nebraska,Vermont",5,"Missouri,Nebraska,Tennessee,Vermont,West Virginia",Plants
Carex decomposita,cypressknee sedge,2,"Georgia,Missouri",5,"Georgia,Louisiana,Missouri,South Carolina,Texas",Plants
Carychium exiguum,obese thorn,2,"Delaware,New Mexico",5,"Delaware,New Mexico,North Carolina,Pennsylvania,West Virginia",Mollusks
Catocala herodias gerhardi,Herodias Underwing,5,"Connecticut,Massachusetts,New Jersey,New York,West Virginia",5,"Connecticut,Massachusetts,New Jersey,New York,West Virginia",Other Invertebrates
Catocala marmorata,Marbled Underwing,5,"Delaware,Illinois,Maryland,Missouri,Virginia",5,"Delaware,Maryland,Missouri,New Jersey,Virginia",Other Invertebrates
Catocala pretiosa pretiosa,Precious Underwing,5,"Maryland,Massachusetts,New Jersey,New York,Virginia",5,"Connecticut,Maryland,Massachusetts,New Jersey,Virginia",Other Invertebrates
Catocala whitneyi,Whitney's Underwing,3,"Illinois,Kansas,Wisconsin",5,"Illinois,Kansas,Minnesota,Nebraska,Wisconsin",Other Invertebrates
Catostomus discobolus,bluehead sucker,6,"Arizona,Colorado,Idaho,New Mexico,Utah,Wyoming",5,"Arizona,Colorado,New Mexico,Utah,Wyoming",Fish
Catostomus latipinnis,flannelmouth sucker,6,"Arizona,California,Colorado,Nevada,Utah,Wyoming",5,"Arizona,Colorado,Nevada,Utah,Wyoming",Fish
Cetorhinus maximus,basking shark,3,"Delaware,New York,Texas",5,"Delaware,Florida,New Jersey,New York,Texas",Fish
Chlosyne harrisii,Harris' Checkerspot,7,"Connecticut,Illinois,Indiana,Maryland,New Jersey,Pennsylvania,West Virginia",5,"Connecticut,Maryland,New Jersey,Pennsylvania,West Virginia",Other Invertebrates
Chlosyne nycteis,Silvery Checkerspot,2,"Connecticut,Pennsylvania",5,"Connecticut,Florida,Nebraska,New Jersey,Pennsylvania",Other Invertebrates
Chrosomus neogaeus,finescale dace,6,"Michigan,Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming",5,"Nebraska,New Hampshire,North Dakota,South Dakota,Wyoming",Fish
Cicindela formosa generosa,Eastern Sand Tiger Beetle,5,"Connecticut,Delaware,Pennsylvania,Virginia,West Virginia",5,"Connecticut,Delaware,Rhode Island,Virginia,West Virginia",Other Invertebrates
Cicindela limbalis,Common Claybank Tiger Beetle,6,"Massachusetts,Michigan,Pennsylvania,Rhode Island,Virginia,Wisconsin",5,"Massachusetts,New Jersey,Rhode Island,Virginia,West Virginia",Other Invertebrates
Coccinella novemnotata,Nine-spotted Ladybird Beetle,1,Rhode Island,5,"Connecticut,Florida,Nebraska,New York,Rhode Island",Other Invertebrates
Columbina passerina,Common Ground-Dove,5,"Florida,Mississippi,New Mexico,South Carolina,Virgin Islands",5,"Florida,Louisiana,Mississippi,New Mexico,South Carolina",Birds
Cordulia shurtleffii,American Emerald,5,"Maryland,Ohio,Pennsylvania,Virginia,West Virginia",5,"Maryland,Ohio,Pennsylvania,Virginia,West Virginia",Other Invertebrates
Coregonus clupeaformis,lake whitefish,6,"Illinois,Indiana,Maine,New Hampshire,Ohio,Vermont",5,"Illinois,Maine,New Hampshire,Ohio,Vermont",Fish
Corynorhinus townsendii virginianus,Virginia big-eared bat,5,"Kentucky,North Carolina,Tennessee,Virginia,West Virginia",5,"Kentucky,North Carolina,Tennessee,Virginia,West Virginia",Mammals
Cottus bairdii,mottled sculpin,7,"Illinois,Iowa,Maryland,New Mexico,South Carolina,Vermont,Wyoming",5,"Delaware,Iowa,Maryland,Ohio,Vermont",Fish
