Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Sonorella russelli,Black Mesa talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella sabinoensis,Santa Catalina talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella santaritana,Agua Caliente talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella simmonsi,Picacho talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella sitiens,Las Guijas talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella superstitionis,Superstition Mountain talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella todseni,Dona Ana talussnail,1,New Mexico,1,New Mexico,Mollusks,TRUE
Sonorella tortillita,Tortolita talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella tryoniana,Sanford talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella vespertina,evening talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella virilis,Chiricahua talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella walkeri,Santa Rita talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella waltoni,Doubtful Canyon talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sonorella xanthenes,Kitt Peak talussnail,0,NA,1,Arizona,Mollusks,TRUE
Sorbus decora,northern mountain-ash,0,NA,1,Massachusetts,Plants,TRUE
Sorex,red-toothed shrews,0,NA,1,North Carolina,Mammals,FALSE
Sorex dispar blitchi,Long-tailed Or Rock Shrew,1,Kentucky,1,Kentucky,Mammals,TRUE
Sorex dispar dispar,Long-tailed shrew,0,NA,1,Virginia,Mammals,TRUE
Sorex hoyi montanus,Pygmy shrew,0,NA,1,Colorado,Mammals,TRUE
Sorex longirostris eionis,Homossassa shrew,0,NA,1,Florida,Mammals,TRUE
Sorex ornatus relictus,Buena Vista Lake ornate shrew,1,California,1,California,Mammals,TRUE
Sorex ornatus salarius,Monterey ornate shrew,1,California,1,California,Mammals,TRUE
Sorex ornatus salicornicus,salt marsh ornate shrew,1,California,1,California,Mammals,TRUE
Sorex ornatus sinuosus,Suisun ornate shrew,1,California,1,California,Mammals,TRUE
Sorex ornatus willetti,Santa Catalina ornate shrew,1,California,1,California,Mammals,TRUE
Sorex tenellus,great basin dwarf shrew,1,Nevada,1,Nevada,Mammals,TRUE
Sorex trowbridgii destructioni,Destruction Island shrew,0,NA,1,Washington,Mammals,TRUE
Sorex vagrans,wandering shrew,2,"Nevada,Wyoming",1,Wyoming,Mammals,TRUE
Sorex vagrans halicoetes,salt marsh vagrant shrew,1,California,1,California,Mammals,TRUE
Sorex vagrans paludivagus,Monterey vagrant shrew,1,California,1,California,Mammals,TRUE
Sosippus placidus,Lake Placid Funnel Wolf Spider,1,Florida,1,Florida,Other Invertebrates,TRUE
Soyedina merritti,Powdermill Forestfly,1,Pennsylvania,1,Pennsylvania,Other Invertebrates,TRUE
Soyedina potteri,Idaho Forestfly,2,"Idaho,Montana",1,Idaho,Other Invertebrates,TRUE
Spanglerogyrus albiventris,Red Hills Unique Whirligig Beetle,0,NA,1,Florida,Other Invertebrates,TRUE
Sparbarus coushatta,A mayfly,0,NA,1,Texas,Other Invertebrates,TRUE
Sparbarus flavus,Yellow Brachycercus Mayfly,0,NA,1,Louisiana,Other Invertebrates,TRUE
Sparbarus maculatus,A Mayfly,1,New York,1,Florida,Other Invertebrates,TRUE
Sparganium angustifolium,narrowleaf burr reed,0,NA,1,West Virginia,Plants,TRUE
Sparganium emersum,European bur-reed,1,Nebraska,1,Nebraska,Plants,TRUE
Spartina cynosuroides,Salt Reedgrass,0,NA,1,Massachusetts,Plants,TRUE
Spea hammondii,Western Spadefoot,1,California,1,California,Amphibians,TRUE
Spea multiplicata,Mexican Spadefoot,1,Utah,1,Utah,Amphibians,TRUE
Spectralia prosternalis,A metallic wood-boring beetle,1,Texas,1,Texas,Other Invertebrates,TRUE
Spelaedrilus multiporus,aquatic oligochaete worm,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Speleochus,(a beetle),0,NA,1,Tennessee,Other Invertebrates,FALSE
Speleomaster lexi,A Cave Obligate Harvestman,1,Idaho,1,Idaho,Other Invertebrates,TRUE
Speleomaster pecki,A Cave Obligate Harvestman,1,Idaho,1,Idaho,Other Invertebrates,TRUE
Spelobia tenebrarum,Cave dung fly,0,NA,1,Tennessee,Other Invertebrates,TRUE
Speocirolana hardeni,A cave obligate isopod,0,NA,1,Texas,Other Invertebrates,TRUE
Speodesmus echinourus,spiny cave millipede,1,Texas,1,Texas,Other Invertebrates,TRUE
Speodesmus falcatus,sickled cave millepede,1,Texas,1,Texas,Other Invertebrates,TRUE
Speodesmus ivyi,Ivy's cave millipede,1,Texas,1,Texas,Other Invertebrates,TRUE
Speodesmus reddelli,Reddell's cave millipede,1,Texas,1,Texas,Other Invertebrates,TRUE
Speoplatyrhinus poulsoni,Alabama cavefish,1,Alabama,1,Alabama,Fish,TRUE
Speranza coortaria,Four-spotted Speranza Moth,0,NA,1,Rhode Island,Other Invertebrates,TRUE
Speranza ribearia,currant spanworm,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Speranza sulphurea,Sulphur Angle Moth,0,NA,1,Rhode Island,Other Invertebrates,TRUE
Spergularia salina,salt sandspurry,0,NA,1,Nebraska,Plants,TRUE
Spermacoce glabra,smooth false buttonweed,0,NA,1,West Virginia,Plants,TRUE
Speyeria adiaste adiaste,unsilvered fritillary,1,California,1,California,Other Invertebrates,TRUE
Speyeria atlantis pahasapa,pahasapa fritillary,1,South Dakota,1,South Dakota,Other Invertebrates,TRUE
Speyeria callippe,Callippe Fritillary,0,NA,1,Nebraska,Other Invertebrates,TRUE
Speyeria callippe callippe,callippe silverspot Butterfly,1,California,1,California,Other Invertebrates,TRUE
Speyeria coronis,Coronis Fritillary,0,NA,1,Nebraska,Other Invertebrates,TRUE
Speyeria cybele,Great Spangled Fritillary,1,District of Columbia,1,Oregon,Other Invertebrates,TRUE
Speyeria cybele cybele,Great Spangled Frittilary,0,NA,1,District of Columbia,Other Invertebrates,TRUE
Speyeria cybele pugetensis,Puget Sound fritillary,1,Washington,1,Washington,Other Invertebrates,TRUE
Speyeria idalia idalia,Regal fritillary,0,NA,1,Virginia,Other Invertebrates,TRUE
Speyeria nokomis carsonensis,Carson Valley silverspot,1,California,1,California,Other Invertebrates,TRUE
Speyeria nokomis nokomis,Great Basin silverspot butterfly,2,"Colorado,New Mexico",1,Colorado,Other Invertebrates,TRUE
Speyeria zerene,Zerene Fritillary,0,NA,1,Nebraska,Other Invertebrates,TRUE
Speyeria zerene behrensii,Behren's silverspot Butterfly,1,California,1,California,Other Invertebrates,TRUE
Speyeria zerene bremnerii,Valley silverspot,1,Washington,1,Washington,Other Invertebrates,TRUE
Speyeria zerene myrtleae,Myrtle's silverspot Butterfly,1,California,1,California,Other Invertebrates,TRUE
Speyeria zerene sonomensis,Sonoma zerene fritillary,0,NA,1,California,Other Invertebrates,TRUE
Sphaerium corneum,European fingernailclam,0,NA,1,Michigan,Mollusks,TRUE
Sphaerium simile,grooved fingernailclam,0,NA,1,Ohio,Mollusks,TRUE
Sphaerium striatinum,striated fingernailclam,0,NA,1,Ohio,Mollusks,TRUE
Sphaerocarpos drewei,bottle liverwort,0,NA,1,California,Plants,TRUE
Sphaerodactylus notatus notatus,Florida Reef Gecko,0,NA,1,Florida,Reptiles,TRUE
Sphaeroderus nitidicollis,no common name,1,Vermont,1,Vermont,Other Invertebrates,TRUE
Sphaeroderus schaumii,Schaum's ground beetle,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphagnum andersonianum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum angermanicum,A Moss,0,NA,1,Vermont,Plants,TRUE
Sphagnum atlanticum,A Moss,1,Vermont,1,Vermont,Other,TRUE
Sphagnum austinii,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum bartlettianum,Bartlett's Peatmoss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Sphagnum brevifolium,A Moss,1,Vermont,1,Vermont,Other,TRUE
Sphagnum compactum,Low Peatmoss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum contortum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum henryense,Henry's Peatmoss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Sphagnum inundatum,A Moss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Sphagnum isoviitae,A Moss,1,Vermont,1,Vermont,Other,TRUE
Sphagnum lindbergii,Lindberg's Sphagnum,0,NA,1,Vermont,Plants,TRUE
Sphagnum mcqueenii,A Moss,1,Vermont,1,Vermont,Other,TRUE
Sphagnum nitidum,A Peatmoss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum platyphyllum,A Moss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Sphagnum pulchrum,Beautiful Peatmoss,0,NA,1,Vermont,Plants,TRUE
Sphagnum quinquefarium,Five-ranked Bogmoss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum recurvum,Recurved Peatmoss,2,"Missouri,Vermont",1,Vermont,Plants,TRUE
Sphagnum riparium,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum tenellum,Delicate Peatmoss,0,NA,1,Vermont,Plants,TRUE
Sphagnum torreyanum,Giant Peatmoss,1,Vermont,1,Vermont,Plants,TRUE
Sphagnum viridum,A Moss,1,Vermont,1,Vermont,Plants,TRUE
Sphalloplana culveri,Culver's Planarian,1,West Virginia,1,West Virginia,Other Invertebrates,TRUE
Sphalloplana evaginata,Perryville cave planarian,1,Missouri,1,Missouri,Other Invertebrates,TRUE
Sphalloplana holsingeri,Holsinger's groundwater planarian,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphalloplana hypogea,A groundwater planarian,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphalloplana kansensis,Kansas Planarian,1,Kansas,1,Kansas,Other Invertebrates,TRUE
Sphalloplana subtilis,Bigger's groundwater planarian,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphalloplana virginiana,Rockbridge County cave planarian,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphecodes autumnalis,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes banksii,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes carolinus,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes cressonii,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes davisii,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes fattigi,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes heraclei,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes levis,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodes pimpinellae,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Sphecodogastra antiochensis,Antioch Dunes halcitid bee,1,California,1,California,Other,TRUE
Sphenolobopsis pearsonii,Sphenolobopsis,0,NA,1,Tennessee,Plants,TRUE
Sphenopholis obtusata,Blunt Sphenopholis,1,Vermont,1,Vermont,Plants,TRUE
Sphenopholis pensylvanica,Swamp Wedgescale,1,Missouri,1,Massachusetts,Plants,TRUE
Sphingicampa blanchardi,A royal moth,1,Texas,1,Texas,Other Invertebrates,TRUE
Sphingidae,hawk moths,0,NA,1,Florida,Other Invertebrates,FALSE
Sphinx eremitus,Hermit Sphinx,3,"Delaware,Illinois,Vermont",1,Rhode Island,Other,TRUE
Sphinx gordius,apple sphinx,2,"New York,Pennsylvania",1,Pennsylvania,Other Invertebrates,TRUE
Sphinx kalmiae,Laurel Sphinx,0,NA,1,Rhode Island,Other Invertebrates,TRUE
Sphodros abboti,Purse-web spider,0,NA,1,Georgia,Other Invertebrates,TRUE
Sphodros atlanticus,Atlantic purse-web spider,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Sphoeroides nephelus,southern puffer,0,NA,1,Louisiana,Fish,TRUE
Sphyrapicus nuchalis,Red-naped Sapsucker,2,"Arizona,Colorado",1,Arizona,Birds,TRUE
Spigelia texana,Texas pinkroot,0,NA,1,Texas,Plants,TRUE
Spilodiscus arcuatus,Hister Beetle,0,NA,1,Rhode Island,Other Invertebrates,TRUE
Spilogale gracilis amphialus,Channel Islands spotted skunk,1,California,1,California,Mammals,TRUE
Spilogale putorius interrupta,Plains spotted skunk,1,Missouri,1,Missouri,Mammals,TRUE
Spilogale putorius putorius,Eastern spotted skunk,0,NA,1,Virginia,Mammals,TRUE
Spinadis simplex,A Flat-headed Mayfly,3,"Georgia,Indiana,Wisconsin",1,Wisconsin,Other Invertebrates,TRUE
Spiochaetopterus costarum oculatus,Parchment Tube Worm,1,South Carolina,1,Rhode Island,Other Invertebrates,TRUE
Spiraea alba var. latifolia,white meadowsweet,0,NA,1,Georgia,Plants,TRUE
Spiraea tomentosa,steeplebush,1,Missouri,1,Missouri,Plants,TRUE
Spiranthes brevilabris,Texas lady's tresses,0,NA,1,Texas,Plants,TRUE
Spiranthes casei var. casei,Case's lady's tresses,0,NA,1,Vermont,Plants,TRUE
Spiranthes floridana,Florida lady's tresses,1,Georgia,1,Georgia,Plants,TRUE
Spiranthes lacera var. gracilis,northern slender lady's tresses,1,Nebraska,1,Nebraska,Plants,TRUE
Spiranthes lacera var. lacera,northern slender lady's tresses,0,NA,1,West Virginia,Plants,TRUE
Spiranthes laciniata,lacelip lady's tresses,0,NA,1,South Carolina,Plants,TRUE
Spiranthes ochroleuca,yellow nodding lady's tresses,1,Vermont,1,Tennessee,Plants,TRUE
Spiranthes odorata,marsh lady's tresses,0,NA,1,Tennessee,Plants,TRUE
Spiranthes ovalis var. erostellata,October lady's tresses,0,NA,1,West Virginia,Plants,TRUE
Spiranthes parksii,Navasota ladies'-tresses,0,NA,1,Texas,Plants,TRUE
Spiranthes tuberosa,little lady's tresses,0,NA,1,West Virginia,Plants,TRUE
Spirobolellidae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Spisula solida,Atlantic Surf Clam,0,NA,1,Rhode Island,Mollusks,FALSE
Spisula solidissima,Atlantic surfclam,1,South Carolina,1,South Carolina,Mollusks,TRUE
Spizella breweri breweri,Brewer's Sparrow,0,NA,1,Oregon,Birds,TRUE
Spongilla,A Freshwater Sponge,0,NA,1,District of Columbia,Other Invertebrates,FALSE
Spongilla aspinosa,Smooth Branched Sponge,1,Massachusetts,1,Massachusetts,Other Invertebrates,TRUE
Spongillidae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Sporobolus airoides,Alkali Sacaton,1,Missouri,1,Texas,Plants,TRUE
Sporobolus clandestinus,Secret Dropseed,0,NA,1,West Virginia,Plants,TRUE
Sporobolus compositus,Rough Dropseed,1,Vermont,1,Vermont,Plants,TRUE
Sporobolus curtissii,Pineland Dropseed,0,NA,1,South Carolina,Plants,TRUE
Sporobolus floridanus,Florida Dropseed,0,NA,1,South Carolina,Plants,TRUE
Sporobolus heterolepis,northern dropseed,0,NA,1,Tennessee,Plants,TRUE
Sporobolus junceus,Pinelands Dropseed,0,NA,1,Tennessee,Plants,TRUE
Sporobolus silveanus,Silveus Dropseed,0,NA,1,Louisiana,Plants,TRUE
Sporobolus texanus,Texas Dropseed,1,Nebraska,1,Nebraska,Plants,TRUE
Stachyocnemus apicalis,Sandpit alydid bug,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Stachys aspera,hyssopleaf hedgenettle,1,Missouri,1,West Virginia,Plants,TRUE
Stachys cordata,heartleaf hedgenettle,0,NA,1,West Virginia,Plants,TRUE
Stachys eplingii,Epling's hedgenettle,0,NA,1,West Virginia,Plants,TRUE
Stachys hyssopifolia,hyssopleaf hedgenettle,1,Georgia,1,Georgia,Plants,TRUE
Stachys pilosa var. pilosa,hairy hedgenettle,0,NA,1,Vermont,Plants,TRUE
Stagnicola,Pondsnail Species Group,0,NA,1,Idaho,Mollusks,FALSE
Stagnicola bonnevillensis,fat-whorled pondsnail,2,"Utah,Wyoming",1,Utah,Mollusks,TRUE
Stagnicola caperata,wrinkled marshsnail,1,New Mexico,1,New Mexico,Mollusks,TRUE
Stagnicola catascopium,Woodland Pondsnail,1,Connecticut,1,Connecticut,Mollusks,TRUE
Stagnicola contracta,deepwater pondsnail,1,Michigan,1,Michigan,Mollusks,TRUE
Stagnicola elodes,marsh pondsnail,1,Missouri,1,Missouri,Mollusks,TRUE
Stagnicola mighelsi,bigmouth pondsnail,1,Maine,1,Maine,Mollusks,TRUE
Stagnicola montanensis,mountain marshsnail,2,"Idaho,Wyoming",1,Utah,Mollusks,TRUE
Stagnicola neopalustris,Piedmont pondsnail,1,Virginia,1,Virginia,Mollusks,TRUE
Stagnicola oronoensis,obese pondsnail,0,NA,1,Maine,Mollusks,TRUE
Stagnicola petoskeyensis,Petoskey pondsnail,1,Michigan,1,Michigan,Mollusks,TRUE
Stagnicola traski,widelip pondsnail,1,Wyoming,1,Utah,Mollusks,TRUE
Stagnicola woodruffi,coldwater pondsnail,2,"Illinois,New York",1,Michigan,Mollusks,TRUE
Stallingsia maculosus,Manfreda giant-skipper,1,Texas,1,Texas,Other Invertebrates,TRUE
Stamnodes gibbicostata,Shiny Gray Carpet Moth,1,Pennsylvania,1,Pennsylvania,Other Invertebrates,TRUE
Stanleya pinnata var. pinnata,desert princesplume,0,NA,1,Nebraska,Plants,TRUE
Stanleya pinnata var. texana,Texas golden princesplume,0,NA,1,Texas,Plants,TRUE
Staphylea trifolia,American bladdernut,0,NA,1,Louisiana,Plants,TRUE
Staphylinidae,rove beetles,0,NA,1,Florida,Other Invertebrates,FALSE
Starksia starcki,key blenny,1,Florida,1,Florida,Fish,TRUE
Stelis ater,Southwest Florida Stelis Bee,0,NA,1,Florida,Other Invertebrates,TRUE
Stelis labiata,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Stelis lateralis,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Stelis louisae,NA,0,NA,1,New Jersey,Other Invertebrates,TRUE
Stellaria borealis ssp. borealis,boreal starwort,0,NA,1,West Virginia,Plants,TRUE
Stellaria fontinalis,American water starwort,0,NA,1,Tennessee,Plants,TRUE
Stellaria longifolia,long-leaf starwort,0,NA,1,Tennessee,Plants,TRUE
Stenacron floridense,A Mayfly,1,Florida,1,Florida,Other Invertebrates,TRUE
Stenacron minnetonka,Minnetonka Flatheaded Mayfly,0,NA,1,Illinois,Other Invertebrates,TRUE
Stenanthium densum,Osceola's plume,0,NA,1,Louisiana,Plants,TRUE
Stenanthium gramineum,eastern featherbells,0,NA,1,West Virginia,Plants,TRUE
Stenaria butterwickiae,Butterwick's starviolet,0,NA,1,Texas,Plants,TRUE
Stenaria mullerae var. pooleana,Poole's starviolet,0,NA,1,Texas,Plants,TRUE
Stenelmis antennalis,A Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenelmis fuscata,A Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenelmis gammoni,Gammon's riffle beetle,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Stenelmis knobeli,Knobel's Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenelmis musgravei,A Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenelmis quadrimaculata,A Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenelmis sexlineata,A Riffle Beetle,1,Wisconsin,1,Wisconsin,Other Invertebrates,TRUE
Stenodontes chevrolati,Chevrolat's Tropical Long-horned Beetle,1,Florida,1,Florida,Other Invertebrates,TRUE
Stenopelmatus monahansensis,Monahans Jerusalem cricket,0,NA,1,Texas,Other Invertebrates,TRUE
Stenoporpia polygrammaria,Faded Gray Geometer,1,Massachusetts,1,Massachusetts,Other Invertebrates,TRUE
Stenotrema angellum,Kentucky slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema calvescens,Chattanooga slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema cohuttense,Cohutta slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema edgarianum,Sequatchie slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema edvardsi,ridge-and-valley slitmouth,1,Pennsylvania,1,West Virginia,Mollusks,TRUE
Stenotrema exodon,Alabama slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema hirsutum,hairy slitmouth,1,Delaware,1,Delaware,Mollusks,TRUE
Stenotrema magnafumosum,Appalachian Slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stenotrema spinosum,carinate slitmouth,1,Virginia,1,Virginia,Mollusks,TRUE
Stenotrema waldense,Doaks Creek slitmouth,1,Tennessee,1,Tennessee,Mollusks,TRUE
Stephanasterias albula,White Sea Star,0,NA,1,Maine,Other Invertebrates,TRUE
Stephanomeria malheurensis,Malheur wirelettuce,1,Oregon,1,Oregon,Plants,TRUE
Stephanomeria runcinata,desert wirelettuce,1,Nebraska,1,Nebraska,Plants,TRUE
Stereolepis gigas,giant sea bass,1,California,1,California,Fish,TRUE
Sterkia clementina,insular birddrop,1,California,1,California,Mollusks,TRUE
Sterkia eyriesii,Caribbean birddrop,0,NA,1,Florida,Mollusks,TRUE
Sterna dougallii dougallii,roseate tern,1,Delaware,1,New Jersey,Birds,TRUE
Sternotherus depressus,Flattened Musk Turtle,1,Alabama,1,Alabama,Reptiles,TRUE
Stethophyma celatum,Broad-winged Sedge Grasshopper,1,Missouri,1,North Carolina,Other Invertebrates,TRUE
Sthenopis auratus,Gold-spotted Ghost Moth,1,Pennsylvania,1,Pennsylvania,Other,TRUE
Sthenopis thule,A Ghost Moth,1,Vermont,1,Vermont,Other,TRUE
Stichodactyla helianthus,sun anemone,0,NA,1,Florida,Other Invertebrates,TRUE
Stichodactylidae,NA,0,NA,1,Florida,Other Invertebrates,FALSE
Stictotarsus neomexicanus,Bonita diving beetle,1,Texas,1,Texas,Other Invertebrates,TRUE
Stiobia nana,sculpin snail,0,NA,1,Alabama,Mollusks,TRUE
Stipulicida setacea,pineland scalypink,0,NA,1,Louisiana,Plants,TRUE
Stizocera floridana,Florida Privet Long-horned Beetle,1,Florida,1,Florida,Other,TRUE
Stokesia laevis,Stokes' aster,1,Georgia,1,Georgia,Plants,TRUE
Stomolophus meleagris,cannonball jellyfish,2,"Florida,South Carolina",1,South Carolina,Other Invertebrates,FALSE
Stonemyia isabellina,Tabanid Fly,1,Connecticut,1,Connecticut,Other Invertebrates,TRUE
Storeria occipitomaculata occipitomaculata,Northern Redbelly Snake,1,Ohio,1,Missouri,Reptiles,FALSE
Storeria victa,Florida Brownsnake,0,NA,1,Florida,Reptiles,TRUE
Streblospio benedicti,A polychaeate,1,South Carolina,1,South Carolina,Other Invertebrates,FALSE
Streptanthus bracteatus,bracted jewelflower,0,NA,1,Texas,Plants,TRUE
Streptanthus carinatus ssp. carinatus,lyreleaf jewelflower,0,NA,1,Texas,Plants,TRUE
Streptanthus cutleri,Cutler's jewelflower,0,NA,1,Texas,Plants,TRUE
Streptanthus glandulosus ssp. albidus,Metcalf Canyon jewelflower,0,NA,1,California,Plants,TRUE
Streptanthus glandulosus ssp. niger,Tiburon jewelflower,0,NA,1,California,Plants,TRUE
Streptanthus hyacinthoides,smooth jewelflower,0,NA,1,Louisiana,Plants,TRUE
Streptanthus maculatus,clasping jewelflower,0,NA,1,Texas,Plants,TRUE
Streptanthus platycarpus,broadpod jewelflower,0,NA,1,Texas,Plants,TRUE
Streptocephalus dorothae,desert fairy shrimp,1,Wyoming,1,Arizona,Other Invertebrates,TRUE
Streptocephalus linderi,Linder fairy shrimp,0,NA,1,Texas,Other Invertebrates,TRUE
Streptocephalus mackini,Mackin fairy shrimp,0,NA,1,Arizona,Other Invertebrates,TRUE
Streptocephalus mattoxi,Mattox fairy shrimp,1,Wyoming,1,Texas,Other Invertebrates,TRUE
Streptocephalus moorei,Moore fairy shrimp,1,New Mexico,1,New Mexico,Other Invertebrates,TRUE
Streptocephalus sealii,spiny-tail fairy shrimp,0,NA,1,Arizona,Other Invertebrates,TRUE
Streptocephalus woottoni,Riverside fairy shrimp,1,California,1,California,Other Invertebrates,TRUE
Streptopus amplexifolius,clasping twistedstalk,0,NA,1,Tennessee,Plants,TRUE
Streptopus lanceolatus,twistedstalk,0,NA,1,Tennessee,Plants,TRUE
Streptopus lanceolatus var. lanceolatus,twistedstalk,0,NA,1,Georgia,Plants,FALSE
Striaria causeyae,A millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Striaria columbiana,A millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Striaria granulosa,A millipede,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Striatura meridionalis,median striate,0,NA,1,Michigan,Mollusks,TRUE
Strix varia,Barred Owl,8,"Alaska,Connecticut,Delaware,Maine,Maryland,Nebraska,New Jersey,Rhode Island",1,New Jersey,Birds,TRUE
Strobilops aeneus,bronze pinecone,1,Wisconsin,1,Wisconsin,Mollusks,TRUE
Strobilops labyrinthicus,Maze Pinecone,0,NA,1,Pennsylvania,Mollusks,TRUE
Strobilops texasianus,southern pinecone,0,NA,1,Pennsylvania,Mollusks,TRUE
Strombidae,NA,0,NA,1,Florida,Mollusks,FALSE
Strombus gallus,roostertail conch,0,NA,1,Florida,Mollusks,TRUE
Strongylocentrotus purpuratus,Purple Sea Urchin,0,NA,1,Oregon,Other Invertebrates,TRUE
Strophopteryx fasciata,Mottled Willowfly,0,NA,1,Illinois,Other Invertebrates,TRUE
Strophopteryx limata,Newfound willowfly,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Strymon acis bartrami,Bartram's Scrub-hairstreak,1,Florida,1,Florida,Other Invertebrates,TRUE
Strymon martialis,Martial Scrub-Hairstreak,0,NA,1,Florida,Other Invertebrates,TRUE
Stuckenia filiformis,fineleaf pondweed,1,Nebraska,1,Vermont,Plants,TRUE
Stuckenia filiformis ssp. occidentalis,slender pondweed,0,NA,1,Nebraska,Plants,TRUE
Stutzia dioica,Rillscale,1,Nebraska,1,Nebraska,Plants,FALSE
Stygobromus araeus,Tidewater interstitial amphipod,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Stygobromus arizonensis,Arizona cave amphipod,1,Arizona,1,Arizona,Other Invertebrates,TRUE
Stygobromus balconis,Balcones cave amphipod,1,Texas,1,Texas,Other Invertebrates,TRUE
Stygobromus baroodyi,Rockbridge County cave amphipod,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Stygobromus barri,Barr's cave amphipod,1,Missouri,1,Missouri,Other Invertebrates,TRUE
Stygobromus barryi,Blankenship Cave amphipod,1,Tennessee,1,Tennessee,Other Invertebrates,TRUE
Stygobromus bowmani,Bowman's cave amphipod,1,Oklahoma,1,Oklahoma,Other Invertebrates,TRUE
Stygobromus cherylae,Barrâs amphipod,0,NA,1,California,Other Invertebrates,TRUE
Stygobromus clantoni,Clanton's cave amphipod,1,Missouri,1,Missouri,Other Invertebrates,TRUE
Stygobromus conradi,Burnsville Cove cave amphipod,1,Virginia,1,Virginia,Other Invertebrates,TRUE
Stygobromus cooperi,Cooper's cave amphipod,1,West Virginia,1,West Virginia,Other Invertebrates,TRUE
Stygobromus cowani,Cowanâs amphipod,0,NA,1,California,Other Invertebrates,TRUE
Stygobromus culveri,Culver's cave amphipod,1,West Virginia,1,West Virginia,Other Invertebrates,TRUE
Stygobromus cumberlandus,Cumberland cave amphipod,1,Virginia,1,Virginia,Other Invertebrates,TRUE
